Evaporator Inlet Water Temperature,Evaporator Outlet Water Temperature,Evaporator Flow rate,Condensor Refrigerant Pressure,Condensor Inlet Water Temperature,Condensor Outlet Water Temperature,Condensor Flow Rate,Motor KW
10.1,5.1,270.9,123.4,26.2,31.1,416.8,243.9
10.1,5.1,271.6,123.4,26.3,31.1,415.7,243.5
10.0,5.1,271.1,123.4,26.2,31.1,418.4,244.3
10.1,5.1,271.4,123.4,26.2,31.0,416.9,244.0
10.0,5.0,270.7,123.4,26.2,31.1,419.0,243.7
10.0,5.1,271.1,122.7,26.1,31.0,418.6,243.2
10.0,5.1,271.3,122.7,26.1,31.0,418.6,243.2
10.1,5.1,271.5,122.7,26.1,31.0,420.5,242.6
10.1,5.1,271.0,122.7,26.1,31.0,420.1,242.8
10.0,5.1,270.8,122.7,26.1,31.0,417.6,242.9
10.1,5.1,271.0,122.7,26.2,31.0,416.2,242.7
10.1,5.1,271.1,122.7,26.2,31.0,419.9,242.0
10.0,5.1,271.4,122.7,26.2,31.0,418.0,241.9
10.0,5.1,271.8,122.7,26.1,31.0,418.3,240.3
10.1,5.1,272.6,122.7,26.1,31.0,420.2,240.3
10.0,5.1,271.0,122.7,26.1,30.9,411.3,240.1
10.0,5.1,271.8,122.7,26.1,30.9,418.0,239.3
10.0,5.1,271.4,122.7,26.1,31.0,416.9,239.7
10.1,5.1,272.1,122.7,26.1,30.9,418.1,239.5
10.0,5.1,270.4,122.0,26.1,30.9,415.8,239.5
10.0,5.1,271.4,122.7,26.1,30.9,418.6,239.2
10.1,5.1,271.6,122.0,26.1,30.9,420.0,239.2
10.0,5.1,271.8,122.0,26.1,30.9,417.2,239.5
10.0,5.1,270.7,122.0,26.0,30.9,418.6,239.4
10.1,5.1,271.3,122.0,26.0,30.9,418.5,239.4
10.1,5.2,270.5,122.0,26.1,30.9,418.8,239.4
10.0,5.1,271.9,122.0,26.1,30.9,419.3,239.4
10.0,5.1,271.5,122.0,26.1,30.9,416.0,239.1
10.0,5.1,271.2,122.0,26.0,30.9,419.2,238.8
10.1,5.1,271.4,122.0,26.0,30.8,418.3,238.4
10.1,5.2,270.1,122.0,26.0,30.9,418.0,238.0
10.0,5.1,270.8,122.0,26.0,30.9,419.7,238.1
10.1,5.1,271.0,122.0,26.1,30.9,417.6,238.4
10.0,5.1,271.6,122.0,26.0,30.9,418.4,238.7
10.0,5.1,272.1,122.0,26.0,30.9,418.7,239.0
10.1,5.1,271.3,122.0,26.0,30.9,418.5,238.9
10.0,5.1,271.9,122.0,26.0,30.9,420.2,239.0
10.0,5.1,272.1,122.0,26.0,30.8,412.5,239.3
10.0,5.1,271.3,122.0,26.0,30.9,417.3,239.2
10.1,5.1,271.5,122.0,26.0,30.9,418.3,239.5
10.0,5.1,271.9,122.0,26.0,30.9,416.4,239.4
10.0,5.1,271.8,122.0,26.0,30.9,418.3,239.1
10.0,5.1,271.5,122.0,26.0,30.8,418.9,239.9
10.0,5.1,271.9,122.0,26.0,30.8,416.5,240.7
10.1,5.2,271.8,122.0,26.0,30.9,417.6,241.6
10.2,5.2,273.1,122.0,26.0,30.8,418.3,240.8
10.0,5.2,271.7,122.0,26.0,30.9,419.1,240.0
10.0,5.2,272.1,122.0,26.0,30.9,419.2,239.7
10.1,5.2,271.5,122.0,26.0,30.8,417.7,239.0
10.0,5.2,271.3,122.0,26.0,30.9,417.8,238.3
10.1,5.2,270.5,122.0,26.0,30.8,418.6,237.9
10.1,5.2,270.6,122.0,26.0,30.9,418.5,237.2
10.0,5.1,270.8,122.0,26.0,30.8,417.9,236.5
10.0,5.1,270.7,122.0,26.0,30.8,417.9,236.2
10.0,5.1,269.9,122.0,26.0,30.9,419.0,235.8
10.0,5.1,270.8,122.0,26.0,30.8,416.7,236.5
10.0,5.1,271.4,122.0,26.0,30.8,418.3,236.9
10.0,5.1,271.9,122.0,26.0,30.8,417.8,237.9
10.0,5.2,272.1,122.0,26.0,30.8,419.7,238.2
10.0,5.1,271.7,122.0,26.0,30.8,418.1,238.4
10.0,5.1,272.0,122.0,26.0,30.8,417.4,238.5
10.2,5.2,270.6,122.0,26.0,30.8,418.0,237.3
10.0,5.2,271.4,121.4,25.9,30.8,419.3,237.0
10.0,5.2,272.5,122.0,25.9,30.7,413.1,237.0
10.1,5.2,271.7,122.0,26.0,30.8,418.9,236.0
10.0,5.2,271.2,122.0,26.0,30.8,418.6,235.4
10.0,5.2,270.5,121.4,26.0,30.7,421.8,233.4
10.0,5.2,270.7,121.4,26.0,30.7,418.0,233.1
10.0,5.2,271.0,121.4,25.9,30.7,418.1,231.0
10.0,5.2,271.5,120.7,25.9,30.7,418.0,230.8
10.0,5.2,271.5,120.7,25.9,30.7,415.6,230.8
10.0,5.2,271.0,121.4,25.9,30.7,419.2,231.7
10.0,5.2,271.7,121.4,26.0,30.7,417.2,232.2
10.0,5.2,271.6,121.4,26.0,30.6,417.7,232.9
10.0,5.2,272.1,121.4,26.0,30.7,417.8,233.2
10.0,5.2,271.6,121.4,26.0,30.7,419.2,233.8
10.0,5.2,273.1,121.4,26.0,30.7,416.8,234.1
10.0,5.2,270.8,121.4,26.0,30.7,417.6,233.6
10.0,5.2,272.0,121.4,26.0,30.7,417.1,233.5
10.0,5.2,271.9,121.4,26.0,30.7,417.3,232.6
10.0,5.2,272.4,120.7,25.9,30.7,419.8,231.9
10.0,5.2,271.8,121.4,25.9,30.7,417.2,231.6
10.0,5.2,271.8,121.4,25.9,30.7,419.0,231.6
10.0,5.2,270.8,121.4,25.9,30.7,417.5,230.7
10.0,5.3,270.8,120.7,25.8,30.7,419.2,230.8
10.0,5.3,271.5,121.4,26.4,30.7,415.8,230.9
10.0,5.2,271.2,121.4,26.5,30.6,411.8,231.5
10.0,5.2,271.1,121.4,26.6,30.7,417.0,232.2
10.0,5.3,271.3,121.4,26.6,30.7,418.8,232.8
10.0,5.2,273.0,121.4,26.7,30.6,416.8,233.5
10.1,5.3,272.8,121.4,26.7,30.7,416.8,232.8
10.0,5.2,272.2,121.4,26.8,30.7,418.2,233.2
10.0,5.2,272.3,121.4,26.7,30.7,415.1,233.1
10.0,5.2,272.1,120.7,26.7,30.7,417.2,232.8
10.0,5.2,271.8,121.4,26.8,30.6,415.2,232.5
10.0,5.2,272.8,120.7,26.8,30.6,417.0,232.2
10.0,5.2,271.1,121.4,26.8,30.6,417.8,231.6
10.0,5.2,270.9,121.4,26.8,30.6,418.3,230.9
10.0,5.2,271.0,120.7,26.7,30.6,417.2,230.4
10.0,5.2,271.2,120.7,26.7,30.7,416.8,230.2
10.0,5.2,271.2,120.7,26.8,30.6,416.5,230.6
10.0,5.2,270.9,120.7,26.8,30.6,417.1,231.3
